AARONCOPLAND,"""A Lincoln Portrait"" composer"
BUYEWEADRANK,"T-Pain song about a sheep pickup artist?"
BUYINGHABITS,"Consumer activity at the convent?"
BUYINGINBULK,"Shopping a warehouse store"
BUYSFORASONG,"Get very cheaply"
BUZZERBEATER,"Basketball court drama"
BUZZERBEATER,"Dramatic basketball game ender"
BUZZERBEATER,"Exciting basketball game ender"
BUZZERBEATER,"Thrilling hoops shot"
BYBLOODLINES,"How a modern democracy like ours would never chuse a leader..."
BYEBYEBIRDIE,"""Put on a Happy Face"" musical"
BYEBYEBIRDIE,"1961 Tony winner for Best Musical"
BYEBYEBIRDIE,"1961 Tony-winning musical inspired by Elvis being drafted"
BYEBYEBIRDIE,"1963 Ann-Margret film based on a Broadway musical"
BYEBYEBIRDIE,"1963 Ann-Margret musical"
BYEBYEBIRDIE,"1963 hit musical"
BYEBYEBIRDIE,"Broadway musical about a blown putt?"
BYEBYEBIRDIE,"Comment after hitting a tee shot out of bounds?"
BYEBYEBIRDIE,"DVD musical of '63"
BYEBYEBIRDIE,"Musical of the '60s"
BYEBYEBIRDIE,"Musical with the song 'Kids'"
BYEBYEBIRDIE,"Source of the song ""Kids"""
BYEBYEBIRDIE,"Strouse/Adams musical"
BYEBYEBORZOI,"Russian kennel?"
BYGOODPEOPLE,"More of a quote by William E. Simon"
BYJORBYCROOK,"Any way possible"
BYJORBYCROOK,"Somehow, some way"
BYNOTGOINGIN,"Part 4 of the definition"
BYRDSRHYTHMS,"""Turn Turn Turn"" beats?"
BYROADMINDED,"Not thinking about highways?"
BYTHENUMBERS,"According to Hoyle"
BYTHENUMBERS,"According to standard procedure"
BYTHENUMBERS,"Routinely"
BYYOURLEAVES,"Q: ""How did you know I was a tea connoisseur?"" A: ""___"""
CABBAGEPATCH,"Birthplace of many a doll"
CABBAGEPATCH,"Like Kids from Babyland General"
CABBAGEPATCH,"Repair job at the mint?"
CABBAGEPATCH,"What the salad chef used to mend a tear?"
CABBIECADDIE,"Taxi driver's golf aide?"
CABINCRUISER,"Accommodating power boat"
CABINCRUISER,"Certain pleasure craft"
CABINCRUISER,"Pleasure craft"
CABINCRUISER,"Posh pleasure boat"
CABINCRUISER,"Powerboat for Tom"
CABINCRUISER,"SQUA(TAXI)DCAR"
CABINETFEVER,"Advisory board epidemic?"
CABINETFEVER,"Passion for a remodeled kitchen?"
CABINETFEVER,"What the president's advisors came down with?"
CABINETMAKER,"Job mistakenly sought by an ex-president?"
CABINETMAKER,"New position for Artie Beckman"
CABINETMAKER,"President's second career?"
CABLESITCOMS,"Shows that can be racier than their network counterparts"
CACHESTORAGE,"Some computer memory"
CACTUSFLOWER,"1969 Goldie Hawn film"
CACTUSFLOWER,"Goldie Hawn flick"
CACTUSFLOWER,"Hawn film"
CADAVERTERIA,"Where ghouls eat lunch?"
CADDIECORNER,"Where golf bag handlers congregate inside the clubhouse?"
CADDIEMASTER,"Looper superviser"
CADDYREMARKS,"Advice for golfers?"
CAESARSALADS,"Sid's side dishes?"
CAESARSPLACE,"Rome, in the first half of the first century BC?"
CAESARSTOAST,"CR*ON"
CAFFEINEBUZZ,"Reaction to a double espresso"
CAFFEINEBUZZ,"Stimulating cut?"
CAGEDCHEDDAR,"Dairy product at the zoo?"
CAIRONMONGER,"Egyptian hardware dealer"
CAIROPRACTOR,"Egyptian healer?"
CAIROPRACTOR,"Egyptian manipulator?"
CAIROPRACTOR,"Egyptian therapist?"
CAIROPROCTOR,"Egyptian exam overseer?"
CAJUNCOOKING,"Spicy cuisine"
CAKEEYELINER,"Cosmetic item"
CAKEFLOURISH,"Baker's embellishment?"
CAKESANDDALE,"Book subtitled ""Cowgirl Evans's Favorite Desserts""?"
CAKESANDDALE,"What Roy Rogers had with dinner?"
CAKESANDMILK,"Somerset Maugham book?"
CALAMITYJANE,"Better-known name of Martha Cannary"
CALAMITYJANE,"Frontier adventuress"
CALAMITYJANE,"Wild West name"
CALCAVECCHIA,"He's already won over $1 million on the 2000 PGA TOUR"
CALCULUSTEST,"Exam with derivatives and integrals"
CALENDAONTHS,"April, May and June"
CALENDARYEAR,"1/1 through 12/31"
CALENDARYEAR,"1/1 to 12/31"
CALENDARYEAR,"Almanac span"
CALENDARYEAR,"Furnish a drink to one in vehicle January to December (8,4)"
CALENDARYEAR,"January 1 to December 31"
CALEXICOCATS,"Border town felines?"
CALGARYGRANT,"Research money given to a Canadian city?"
CALHEREICOME,"Heads-up to ""Iron Man"" Ripken?"
CALICOBONNET,"Pioneer woman's headwear"
CALISTHENICS,"Type of fitness training"
CALLAPARROTS,"Riddle: Part 2"
CALLEDSTRIKE,"Ball that's not a ball"
CALLEDSTRIKE,"Result of a good pitch, maybe"
CALLEDSTRIKE,"Umpire's decision"
CALLINGBIRDS,"Fourth day of Christmas arrivals"
CALLINGBIRDS,"Those with telephones?"
CALLINGBIRDS,"Yuletide foursome"
CALLINGCARDS,"Handouts?"
CALLINGCARDS,"Telephone company offerings"
CALLITANIGHT,"Retire to one's boudoir"
CALLSCREENER,"Radio talk show employee"
CALLSITQUITS,"Retires"
CALLSRECALLS,"Initiates withdrawals of defective products?"
CALLSTHETUNE,"Is in charge"
CALLTHESHOTS,"A sportscaster and a CEO both ___"
CALLTHESHOTS,"Take charge at the immunization clinic?"
CALLTOLLFREE,"Advertiser's directive"
CALLWHATTHEY,"Part 4 of remark"
CALMERWATERS,"Ned and Lou make a harbor"
CALMTHESTORM,"Quiet time"
CALYPSOMUSIC,"Harry Belafonte's specialty"
CAMEACROSSED,"*Stumbled upon"
CAMEBACKTOME,"End of the quip"
CAMELCARAVAN,"Oasis sight"
CAMELSMESCAL,"Sahara agave liquor brand?"
CAMERONCROWE,"Director of ""Say Anything"""
CAMEROONDIAZ,"African actress?"
CAMEROONDIAZ,"Best Actress nominee for ""Djibouti Call""?"
CAMETODINNER,"""The Man Who ___"""
CAMPFIRESONG,"Ditty played on an acoustic guitar"
CANADABALSAM,"Lacquer ingredient from firs"
CANADIANCLUB,"Montreal Expos, e.g.?"
CANARYCANARY,"Dance that's for the birds?"
CANARYYELLOW,"Bright color"
CANARYYELLOW,"Color named after a bird"
CANARYYELLOW,"Sunny color"
CANCANDANCER,"Moulin Rouge performer"
CANCANDANCER,"Music-hall performer"
CANCANOPENER,"First note at the Moulin Rouge?"
CANCANOPENER,"First number of a high-kicking show?"
CANCANOPENER,"Showy dance intro?"
CANCELEDCHEX,"Cereal taken off the menu?"
CANCERSPIDER,"Sidling arachnid?"
CANDICEWAITE,"Girlfriend who has better things to do?"
CANDICEWAITE,"Girlfriend who procrastinates?"
CANDIDCAMERA,"""Punk'd"" precursor"
CANDIDCAMERA,"""Smile!"" show"
CANDIDCAMERA,"Embarrassing TV program?"
CANDIDCAMERA,"Funt's show"
CANDIDCAMERA,"Garry Moore Show segment"
CANDIDCAMERA,"Practical joke TV show that began in 1948"
CANDIDCAMERA,"Practical-jokes TV show that first aired in 1948"
CANDIDCAMERA,"Show with a lot of unexpected shooting"
CANDIDCAMERA,"TV show that began in 1948"
CANDIDEAPPLE,"Fruit eaten by a Voltaire protagonist?"
CANDIDPENTAX,"Show that asked you to smile"
CANDIEDYARNS,"High-fiber treats?"
CANDLEHOLDER,"MENORAH"
CANDLELVIGIL,"Nighttime memorial, perhaps"
CANDLESCENTS,"Whiffs in wax"
CANDYCORNICE,"Gingerbread house ornament?"
CANDYSTRIPER,"Hospital volunteer"
CANDYSTRIPER,"Hospital volunteer named for a red-and-white jumper"
CANDYSTRIPER,"Teen doing volunteer work in a hospital"
CANIATTAINAC,"Average student's question?"
CANNERYROWDY,"Packing plant ruffian?"
CANNESCANCAN,"Film-festival dance?"
CANNESOPENER,"Start on the Riviera?"
CANNESWETALK,"French translation of a Joan Rivers catchphrase?"
CANNINGBIRDS,"Pink-slipping pelicans, e.g.?"
CANNONFODDER,"At-risk front-line troops"
CANNONFODDER,"Front-line soldiers, perhaps"
CANNOTRESIST,"End of the definition"
CANOFSPINACH,"Popeye's enabler"
CANONLYTHINK,"Part 3 of the quotation"
CANPROVETHAT,"Part 6 of the quip"
CANTANKEROUS,"Grumpy"
CANTDOATHING,"Is completely hamstrung"
CANTHECOMEDY,"""Enough joking around!"""
CANTHECOMEDY,"""Enough with your jokes!"""
CANTHECOMEDY,"""Let's be serious"""
CANTHISONEBE,"Part three of the question"
CANTIHAVEYOU,"""Why ___"" (1985 hit)"
CANTONOPENER,"First game of a Chinese double-header?"
CANYOUDIGGIT,"Question about one's ability to share a webpage?"
CAPEHATTERAS,"Tallest U.S. lighthouse"
CAPITALAGAIN,"Government seat once more?"
CAPITALCRIME,"It's to die for"
CAPITALGAINS,"Seat of government's acquisitions?"
CAPITALISTIC,"Like some investors"
CAPITALOFUKE,"Kiev"
CAPITOLMOUTH,"Orange/Blue line stop for a filibustering senator?"
CAPITOLSTEPS,"""It's Not Over 'Til the First Lady Sings!"" satirists"
CAPITOLTRILL,"Warble heard in the Senate?"
CAPONEONPACE,"Gangster Al keeping up?"
CAPONTRUCKIN,"Transportin' certain chickens to market?"
CAPRICEARONI,"Boxed pasta that's different every time you open it?"
CAPRICEINDEX,"Whim organizer?"
CAPRICOTTAGE,"Pastel-imbued isle domicile?"
CAPTAINCOMET,"Reindeer commanding a ship?"
CAPTAINCROOK,"English explorer gone bad?"
CAPTAINFLINT,"Q: Is its name ___? A: Yes"
CAPTAINPELEG,"Co-owner of the Pequod"
CAPTAINQUIRK,"Mr. Spock's peculiar superior?"
CAPTAINREHAB,"Literary character who's undergone a lot of ""whale obsession"" therapy?"
CAPTAINSLOGO,"Double bar?"
CAPTAINSSLOG,"Trek of a commander?"
CAPTAINVIDEO,"Early TV superhero"
CAPUCHINMONK,"Franciscan order member"
CARBEHINDTHE,"Continuation of quip"
CARBEHINDTHE,"Quip, part 3"
CARBOLOAFING,"Doing nothing but eating pasta?"
CARBONDATING,"*Age-revealing method"
CARBONDATING,"Age-measuring technique"
CARBONDATING,"Archaeologist's measuring technique"
CARBONDATING,"Archaeologist's tool"
CARBONDATING,"Paleontological age-determination method"
CARBONDATING,"Process for determining age"
CARBUNCLESAM,"Guy covered with gross inflammations?"
CARCARGARAGE,"Suburban amenity?"
CARDAMOMSEED,"Bit of spice"
CARDBOARDBOX,"*Shipping container"
CARDBOARDBOX,"Container"
CARDBOARDBOX,"Gift carton"
CARDBOARDBOX,"Parcel, possibly"
CARDCARRYING,"Like some dedicated members"
CARDCARRYING,"Really dedicated, as to a political movement"
CARDCARRYING,"Type of dedicated member"
CARDINALCOOK,"Former head of a New York diocese"
CARDINALRULE,"Tenet"
CARDINALSING,"Vatican vocal performance?"
CARDINALSINS,"Big no-nos"
CARDINALSINS,"Lust, gluttony, greed, etc."
CARDINALSSIN,"Envy or sloth in St. Louis?"
CAREFREELIFE,"How long sticks stay fresh?"
CARELESSNESS,"Negligence"
CARIBBEANSEA,"Part of the Atlantic"
CARIBBEANSEA,"Splashy West Indies neighbor"
CARIBBEANSEA,"Wet West Indies neighbor"
CARIBOUILLON,"Arctic deer's in the soup?"
CARINGLEADER,"Compassionate president?"
CARLOTREINER,"Director who drives a hard bargain?"
CARLOTREINER,"Director who's been around the block a few times?"
CARLSANDBURG,"""Fog"" poet"
CARLSANDBURG,"Local poet"
CARLSBADNEWS,"Funny California paper name?"
CARLWEATHERS,"Portrayer of Apollo Creed in the ""Rocky"" movies"
CARLYSANGELS,"Movie about a woman who runs a private investigation agency"
CARMELAPPLES,"Fruits from a California coastal resort?"
CARNEGIEHALL,"Marian Anderson debuted there on Dec. 30, 1928"
CARNEGIEHALL,"Where Chicago recorded their live album ""Chicago IV"""
CARNIEWILSON,"Early 1990s pop star with a short-lived 1995 talk show"
CAROFTHEYEAR,"Motor Trend magazine award"
CAROLBURNETT,"'60s-'70s variety show host"
CAROLBURNETT,"Noted ear-tugger"
CAROLBURNETT,"Skit queen"
CAROLINACAPE,"FEAR"
CAROLINERHEA,"Host of ""The Biggest Loser"""
CAROLINGRHEA,"Ostrich relative in a holiday pageant?"
CAROLYNCHUTE,"Novelist who wrote of Egypt, Maine"
CAROUSELRENT,"Musical about the price you pay for going in circles?"
CARPALTUNNEL,"Passageway to the arm of redesigned nuclear plant (6,6)"
CARPENTERANT,"Insect found in deadwood"
CARPENTERANT,"Insect living in deadwood"
CARPERISCOPE,"Another of Kramer's money-making ideas"
CARPETBAGGER,"Reconstruction outsider"
CARPETBAGGER,"Scalawag's confederate"
CARRANDSTICK,"Singer Vikki with a baton?"
CARRIEFISHER,"""Return of the Jedi"" star"
CARRIEFISHER,"""Star Wars"" star"
CARRIEFISHER,"'Star Wars' co-star"
CARRIEFISHER,"Debbie Reynolds' daughter"
CARRIENATION,"Days of Wine and Roses about..."
CARRIENATION,"Notable 1900s anti-alcohol demonstrator"
CARRIEONBAGS,"Fisher standing atop a stack of sacks?"
CARROLLBAKER,"""Harlow"" star"
CARROLLBAKER,"Driving need + Turn over + Turnover maker = Actress"
CARROTSTICKS,"Crudités displays"
CARRRECYCLES,"'It Must Be Him' singer goes green?"
CARRYFISSURE,"Tote a narrow opening?"
CARRYINGCASE,"Laptop accessory (with an up-front charge)"
CARRYINGCASE,"Laptop transporter"
CARRYONNURSE,"1960 British comedy"
CARRYTHEBALL,"Take charge on the gridiron?"
CARRYTHEBALL,"Take charge, for a teamster?"
CARRYTHEBEET,"What Mopsy might do in the band?"
CARTEBLANCHE,"Free rein"
CARTEBLANCHE,"Full discretionary power"
CARTEBLANCHE,"___ check"
CARTERMONROE,"Automobile lingo pertaining to caviar?"
CARTOONSDONT,"Start of a quote"
CASCADERANGE,"Rainier's place"
CASEFORALARM,"Smoke detector box?"
CASETHEJOINT,"*Thing to do before a heist"
CASETHEJOINT,"Orthopedist's resolution?"
CASEYATHEBAT,"___.com (e-mail address for an old poetry reader)"
CASEYSTENGEL,"""Most ball games are lost, not won"" speaker"
CASEYSTENGEL,"A Yankee skipper"
CASEYSTENGEL,"Legendary baseball manager"
CASEYSTENGEL,"Manager of the Major League Baseball All-Time Team"
CASEYSTENGEL,"Manager who won five straight World Series"
CASEYSTENGEL,"Speaker of the quip"
CASEYSTENGEL,"Speaker of the quote born 7/30/1890"
CASEYSTENGEL,"Wearer of uniform #37, retired by both the Yankees and the Mets"
CASHADVANCES,"Sums of money paid before being earned"
CASHANDBERRY,"Country singing Johns"
CASHANDCAREY,"Business for diva Mariah?"
CASHANDCAREY,"Johnny and Mariah forgoing delivery?"
CASHANDCAREY,"Johnny/Mariah partnership?"
CASHANDCARRY,"Like some purchases"
CASHANDCARRY,"Type of transaction"
CASHANDCURRY,"Saucy payment system?"
CASHANDKERRY,"The story of a senator's spending habits?"
CASHLOSTINEM,"SLOT MACHINES"
CASHMOTOROIL,"Singer Johnny's auto care product?"
CASHORCHARGE,"Buyer's option"
CASHORCHARGE,"Choice at checkout"
CASHORCHARGE,"Common question"
CASHORCHARGE,"Payment choices"
CASHORCREDIT,"Choice at the checkout counter"
CASHORCREDIT,"Choice at the register, perhaps"
CASHORCREDIT,"Choice many face"
CASHORCREDIT,"Choice words?"
CASHORCREDIT,"Modern choice #5"
CASHRECEIPTS,"Record of incoming funds"
CASHREGISTER,"Historical account of Johnny's achievements?"
CASHREGISTER,"Lines form in front of it"
CASHREGISTER,"Take home?"
CASHREGISTER,"Target of many a line"
CASHREGISTER,"Trucker slang for tollbooth (4,8)"
CASHREGISTER,"Trucker's CB slang for tollbooth (4,8)"
CASHREGISTER,"U.S. Mint employees' newspaper?"
CASHSTRAPPED,"*Hurting for money (33)"
CASINONOVICE,"Beginning gambler"
CASINORESORT,"Foxwoods, for one"
CASINOROYALE,"1967 James Bond spoof"
CASINOWORKER,"Ideal"
CASPERSCRAPE,"Tiff in Wyoming?"
CASPERSCRAPE,"Wyoming predicament"
CASSATTDECKS,"American artist Mary's painting of promenades?"
CASSETTEDECK,"Place for a tape"
CASSETTETAPE,"Deck insert"
CASSETTETAPE,"It spins its reels"
CASTAWIDENET,"Advice for fishermen"
CASTCATSACTS,"Fill roles for a Broadway show?"
CASTINGCOUCH,"... piece of furniture?"
CASTINGKABUL,"Picking up Afghanistan's capital and throwing it?"
CASTLEHASSLE,"Problem at home in Transylvania?"
CASTLEUPKEEP,"Royal maintenance?"
CASTORVALLEY,"Dale where beans are grown to make a cathartic oil?"
CASTOUTNINES,"A way to check a sum"
CASUALFRIDAY,"End-of-the-week office dress policy, maybe"
CASUALREMARK,"Off-the-cuff comment"
CATCHNAPPING,"Find out?"
CATCHOFFBASE,"Take advantage of the other side's error"
CATCHTHEGNUS,"Round up some ruminants?"
CATFOODFIGHT,"Fancy Feast product / Cafeteria outburst / ""Mean Girls"" event"
CATHODEARRAY,"Lineup of battery terminals?"
CATPUNCHCOLD,"""Always serve ___"" (dog soiree advice?)"
CATSPROWLING,"Feline hunters"
CATSUPBATTLE,"Condiments aisle dispute?"
CATSUPCRADLE,"Heinz holder?"
CATTLEBARONS,"Stock traders"
CATTLEBATTLE,"Animal warfare?"
CATTLEWRENCH,"Livestock tool?"
CATTLEWRENCH,"Tool used on a mechanical bull?"
CATTLEWRENCH,"Tool used to repair mechanical bulls?"
CAUGHTONTAPE,"How newscasters obsoletely hype some events"
CAUSECELEBRE,"Headline-making issue"
CAUSECELEBRE,"The O. J. Simpson trial, for example"
CAVEATEMPTOR,"""No guarantees"""
CAVEATEMPTOR,"Housing start for buyers?"
CAVIAREMPTOR,"Let the baby fish beware?"
CAVILDEFENSE,"Quibbler's rebuttal?"
CAWLEIFLAUER,"Field sound/ first name in Norse exploration/ ""Today"" host"
CAWSFORALARM,"Trouble seen from the crow's-nest?"
CBHURCHMOUSE,"Poor example?"
CDEFLOPTANDZ,"End of the question"
CEASETOEXIST,"Die"
CECILDEMILLE,"B-less film legend"
CECILFIELDER,"Fitting name for a baseball player"
CEDITCUNCHES,"Sudden reductions in loan availability, and a hint to this puzzle's theme"
CEELOHIMSELF,"""Here's the very man who wrote 'Fuck You'!""?"
CEEPYCAWLERS,"Halloween gags for kids"
CELEBRATIONS,"Commemoration replacements often on Memorial Day"
CELERYFREEZE,"Economy measure, to a salad lover?"
CELLARCALLER,"Wine telemarketer?"
CELLARSELLER,"Vintner?"
CELLDIVISION,"One way to solve prison overcrowding?"
CELLOPUDDING,"Dessert enjoyed by the string section?"
CELLOPUDDING,"Instrumental Kraft snack?"
CELLULARDIVE,"Seedy joint for wireless users? (Cruella De Vil ""reformed"")"
CEMENTATTLEE,"Prime minister set in his ways?"
CEMENTMIXERS,"Mortar men's get-togethers?"
CEMETERYPLOT,"Storyboard for ""Poltergeist""?"
CENTEROFMASS,"Body's focal point"
CENTERPIECES,"At lunch with friends she ___ of meat back and ordered seafood"
CENTERSPREAD,"Good for a magazine writer, bad for a couch potato"
CENTERSQUARE,"Whoopi Goldberg's place, for years"
CENTIMESSAGE,"Spammed 100 AOLers?"
CENTRALGRAND,"Middlemost concert piano?"
CENTSINAEURO,"HUNDRED"
CENTSOFFCOUP,"Great money-saving achievement?"
CEREALSERIAL,"Soap opera about Life?"
CEREALSERIAL,"Trilogy about breakfast food?"
CESAREANSECT,"Worshipers of Roman emperors?"
CESTLAGUERRE,"Phrase of resignation"
CESTLAVEGGIE,"""Yvette's not a meat eater""?"
CEVERETTKOOP,"'80s condom pusher"
CEVERETTKOOP,"1980s U.S. surgeon general"
CGIANIMATION,"""Toy Story"" film technique"
CHACHIARCOLA,"TV character who loved Joanie"
CHAINLETTERS,"Illegal money-making ploys"
CHAINOFFOOLS,"1968 Aretha Franklin hit"
CHAINOFFOULS,"Cause for repeated whistle-blowing?"
CHAINOFFOULS,"String in a long at bat?"
CHAINOFGANGS,"[Bloods, Hells Angels, Crips]"
CHAINSPLACES,"Prisons?"
CHAIRMANMEOW,"Chinese leader's pet cat?"
CHALKDRAWING,"Bit of artwork that'll wash away in the rain"
CHALKWOOLERY,"Rock game-show host?"
CHALKWOOLERY,"TV host's teacher brother?"
CHALKWOOLERY,"Teacher who runs his class like a game show?"
CHALKYSHORTS,"Cutoffs soiled by a dirty blackboard eraser?"
CHAMBERMUSIC,"Haydn genre"
CHAMBERMUSIC,"Intimate style of entertainment"
CHAMBERMUSIC,"Small hall entertainment"
CHAMBERMUSIC,"String quartet's offering"
CHAMBERMUSIC,"What the Juilliard String Quartet plays"
CHAMOMILETEA,"Herbal soother"
CHAMPAGNEJAM,"Rock hit of the '70s"
CHANCECHANTS,"Gamble rambles?"
CHANCECHANTS,"Gamble-rambles?"
CHANCECHANTS,"Random rap songs?"
CHANCEOFGAME,"Hunter's forecast?"
CHANGECHANGE,"Get five nickels for a quarter?"
CHANGECHANGE,"Give two dimes and a nickel for a quarter"
CHANGECOURSE,"Go in a new direction"
CHANGEDNAMES,"MENSA?"
CHANGEOFPACE,"CAPE"
CHANGEOFPACE,"CAPE?"
CHANGEOFPACE,"Quick money back?"
CHANGEOFPACE,"Welcome shift in routine"
CHANLSURFERS,"Couch potatoes, often"
CHANREACTION,"Case of the serial investigator?"
CHANREACTION,"Reply to a No. 1 son, e.g.?"
CHAPLAINJANE,"Female padre?"
CHAPLINESQUE,"In the Little Tramp's style"
CHAPSHOOTING,"Casual London photo session?"
CHAPTERHOUSE,"Frat building"
CHAPTERTHREE,"Analyst's upgrade of a Marsha Mason film?"
CHARACTERCTR,"One-stop font shop?"
CHARACTERISA,"Start of a quotation by Bill Clinton"
CHARDREMAINS,"Leftover veggie?"
CHARGEACOUNT,"Attack Dracula?"
CHARINGCROSS,"Central London district"
CHARIOTSQUAD,"Ancient mounted police?"
CHARITYBAWLS,"Reactions at an unsuccessful fund-raiser?"
CHARITYEVENT,"Fund raiser of a sort"
CHARLESBOYER,"It's an actor!"
CHARLESBROWN,"Funnies victim"
CHARLESGORIN,"Bridge expert usin' a spear?"
CHARLESHORSE,"Dignified version of a punch-to-the-leg prank?"
CHARLESJIVES,"Jazzy U.S. composer?"
CHARLESMOORE,"Architect who designed Dartmouth's Hood Museum of Art"
CHARLESREADE,"Fitting name for an author"
CHARLESSHEEP,"""A Dissertation on Roast Pig"" writer"
CHARLESSHEEP,"Essayist?"
CHARLESSTEAK,"Butcher's offering, formally"
CHARLESWAGON,"Cattle trail catering guy?"
CHARLESWAGON,"Cowboy's formal kitchen?"
CHARLESWAGON,"Food cart?"
CHARLESWAGON,"Western chow dispenser, formally?"
CHARLEYHORSE,"Class Athlete"
CHARLEYHORSE,"It doesn't whinny"
CHARLEYHORSE,"It doesn't whinny, it hurts"
CHARLEYHORSE,"Result of a rough workout, perhaps"
CHARLEYPRIDE,"""Is Anybody Goin' to San Antone?"" singer"
CHARLEYPRIDE,"""Kiss an Angel Good Mornin'"" singer"
CHARLEYSAUNT,"1925 Sydney Chaplin film"
CHARLEYSAUNT,"1941 Jack Benny movie"
CHARLEYSAUNT,"Bolger role"
CHARLEYSAUNT,"Brandon Thomas farce"
CHARLIEBROWN,"Coasters classic"
CHARLIECHASE,"Silent-film comic known for his cable car action scenes?"
CHARLIEHERON,"Pal of Freddy Flamingo? (Z T)"
CHARLIEHORSE,"Muscle annoyance"
CHARLIEHOUGH,"Won Marlins' first game on Opening Day of 1994"
CHARLIESHEEN,"""I am on a drug. It's called ___."" (And source of the quotes used in this puzzle)"
CHARLIESHEEN,"""Platoon"" actor"
CHARLIESHEEN,"""Wall Street"" actor"
CHARLIESHEEN,"'Platoon' star"
CHARLIESHEEN,"Did you hear about this new drug called ___?"
CHARLIESHEEN,"Jon Cryer's costar"
CHARLOTTERAE,"""Diff'rent Strokes"" actress"
CHARLOTTERAE,"""The Facts of Life"" actress"
CHARLOTTERAE,"Actress who played Edna Garrett on ""Diff'rent Strokes"" and ""The Facts of Life"""
CHARLOTTERAE,"Mrs. Edna Garrett in ""The Facts of Life"""
CHARLYGORDON,"Algernon racer"
CHARTEREDSUB,"Oceanographer's rental?"
CHARTGALLERY,"Map exhibit?"
